"
                    2021-02-06 18:22:45
                ",Mr. Infamous,被预告压下的兴致，在正片中焚起。从小门神跳到白蛇再到哪吒，哪怕质地仍有打磨空间，追光实力已距离胃口甚至野心越来越近。电影很有速度感，不只是动作场面的密集、使劲与视觉冲击（在IMAX前排挺爽），而且在于一关一劫，层层推进都有火气。向宿敌，向宿命，向天地，向自我，讨一寸公道，要一分清朗，这百世千载流转的故事，就在掺杂蒸汽朋克、机甲元素、民国风情与鬼斧神工的架空世界里有了“重生”价值。而哪吒素来与反叛、傲骨牵系，李云祥不是一个重生的样板，反而是引动元神的主体，这个突破又拓宽了神话新编的许多可能。此封神宇宙并非只有封神故事，悟空、石矶后人、夜叉入局现世，四大天王与杨戬蓄势待发，真要联动青蛇甚至葫芦兄弟，真要提前写好服字。若是苏医生与妲己相关，也很绝。（谢谢#江湖观影团#赠票。在佛山仰望“佛山”，奇妙。）,allstar40,推荐
"
                    2021-02-06 15:41:43
                ",天马星,《蜘蛛侠》遇上《上海滩》，超英黑帮片再加点机械废土元素，怎么说呢，美术风格挺独树一帜的，但有点用力过猛，喜欢的觉得先锋炫酷，不喜欢的觉得土味混搭。剧作想要往《封神榜》里最原始黑暗的哪吒上去靠，但只呈现出愤怒的情绪，从头一路打到尾，人物形象非常单薄。和《姜子牙》有些类似，又一部能力跟不上野心的作品，十分可惜。,allstar30,还行
"
                    2021-02-12 15:56:18
                ",同志亦凡人中文站,追光延续了“白蛇”的创作逻辑，在千年神话的基础上进行再创作，可惜剧情就是愤怒小强打打打，最惊艳的可能还是民国上海搭配赛博朋克的美学风格。另外这版哪吒会不会发育得太成熟了，剑眉星目、虎背蜂腰的半裸造型居然看得我老脸一红。三太子是因为叫敖丙才被画成丙丙的吗？,allstar40,推荐
"
                    2021-02-12 13:03:30
                ",哇唧吉娃娃,难看，是真的难看，很难相信这个剧本连一个完整的故事都说不清楚。生硬的转折+脸谱的人设，太浪费特效和设定了，点映看完一肚子火…,allstar20,较差
"
                    2021-02-06 17:47:47
                ",小A,视觉盛宴，民国末世赛博朋克设定美轮美奂，有几个场景让我想起《攻壳机动队》。镜头语言很流畅，节奏感掌控水平很高。主旨还是“我命由我不由天”和哪吒自我认同，但故事厚度明显更上一层楼，前半段依靠压迫-复仇故事模式打引入人物关系打好基础，让孤胆英雄在疏离感的末世里逆行，为后半段人物关系从人向神转换，哪吒自我认同升华后和大boss巅峰对决做准备，李云祥闯龙宫大战，以人抗神，哪吒元神认同李云祥，神性与人性不再分割，凡人封神。,allstar40,推荐
"
                    2021-02-06 18:09:24
                ",西楼尘,缚住龙王的是不愿屈居末位的封神榜，缚住哪吒的是亦英雄亦灾祸的宿命咒，缚住敖丙的是一根复仇的钢骨龙筋，缚住悟空的是一本无用的西天真经。世人皆如那被混天绫缚住的镇水神兽，为着稀缺的水源，珍贵的黄金或是心爱的幼崽无力挣脱。医院旁边立着一尊大佛，观阐教截教斗法，神妖俗人夺利，却无一慈悲。,allstar20,较差
"
                    2021-02-13 01:30:31
                ",苏冰儿,我觉得故事性完胜魔童啊，主题高度也提升了好几个度，至少不是为了燃而燃，这一部个人觉得是追光目前为止最好的一部，不知道为啥喷子那么多🙃🙃🙃,allstar50,力荐
"
                    2021-02-14 17:31:10
                ",小魔女,影片似乎单纯把哪吒解读为六亲不认、嗜血成性的“杀神”，而现代人李云祥则对这一哪吒元神进行了驯服和改造，改造的合法性在于龙族害人。龙族之所以害人，一是因为和哪吒的前世恩怨（打打杀杀的义气之争），二是为了在封神大战中取得较好的位次（如果说哪吒不认命，那龙族又何尝不是？）。站在观影者角度来看，支持“哪吒战胜龙族”这一叙事的唯一理由在于，以后者为代表的富人社会对以前者为代表的贫困大众实行了阶级压迫——然而这种政治经济属性并没有在双方的大战中充分展开，二者之间的冲突似乎只沦为了热血而空洞的叫嚣（“我是谁，我自己说的算”+不断的炫技、炫技、炫技）。无论谁输谁赢，都没有落脚到不公平的社会现实。,allstar40,推荐
"
                    2021-02-09 20:20:19
                ",奈何无话可说,直男癌写的男频种马文剧本，高度迎合城乡结合部青年喜好，在道德边缘疯狂试探。还学郭抄抄，抄了一堆好莱坞电影桥段和画面设计。动画制作，国产片确实在进步，可惜讲故事的能力一如既往让人膈应。太多暴力，太多色情成人元素，请记得千万别带孩子一起看。这样的传说新改不过是文化毒药和垃圾！李云祥才是真正主角，哪吒只是用来扯大旗的卖点。2021.2.12补充刚看完侍神令，发现哪吒的长相有屈楚萧这个渣男的影子，怪不得看着不顺眼。,allstar10,很差
"
                    2021-02-18 16:34:23
                ",ポエジー,看了十分钟就想夺门而出的地步，特效画面都挺好的，为什么剧情能弱智成这样。,allstar20,较差
"
                    2021-02-14 14:43:40
                ",王大根,作为恐50亿哪吒的人都得说：50亿哪吒的故事委实是写得扎实饱满多了……绝对正义对抗绝对邪恶=绝对无聊,allstar30,还行
"
                    2021-02-13 21:49:43
                ",捞捞与捉捉,"起点爽文，男人最爱
重生之我是哪吒，一路开挂，美女环绕
别来第二部，不配
2021年第一部睡着的电影，被旁边小孩吵醒，中间十分钟没看到毫不可惜",allstar10,很差
"
                    2021-02-15 20:49:24
                ",13:56,预告片欺诈，以为是现代新编，到头来还是个套路又装逼的故事。配乐难听品味低下，女性角色全员工具人，充满了男性凝视的意淫。,allstar10,很差
"
                    2021-02-18 21:17:42
                ",小猫飞飞,如果我有罪，请让法律制裁我，而不是看这种如坐针毡，浪费时间的东西🤮,allstar10,很差
